Posts,Mentions,Hashtags,Cashtags,URLs,Quoted_text,Punctuations,Punctuation_emphasis,All_caps,Negations,Time_expressions,Emojis
"$TSLA 🔥 @bob@infosec.exchange ""Exciting times ahead!"" #AI https://t.co/xyz123",['@bob@infosec.exchange'],['#AI'],['$TSLA'],['https://t.co/xyz123'],"['""Exciting times ahead!""']","['$', '🔥', '@', '@', '.', '""', '!', '""', '#', ':', '/', '/', '.', '/']",[],"['TSLA', 'AI']",[],['times'],['🔥']
@alice@infosec.exchange €ETH 'Not sure about this' https://t.co/xyz123 🚀 #Crypto,['@alice@infosec.exchange'],['#Crypto'],['€ETH'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['@', '@', '.', '€', ""'"", ""'"", ':', '/', '/', '.', '/', '🚀', '#']",[],['ETH'],['not'],[],['🚀']
"https://t.co/xyz123 ""What a day!"" @eve@infosec.exchange 📉 $GOOG #Startups",['@eve@infosec.exchange'],['#Startups'],['$GOOG'],['https://t.co/xyz123'],"['""What a day!""']","[':', '/', '/', '.', '/', '""', '!', '""', '@', '@', '.', '📉', '$', '#']",[],['GOOG'],[],['day'],['📉']
@bob@techhub.org https://t.co/xyz123 🔥 $AAPL #Climate 'Not sure about this',['@bob@techhub.org'],['#Climate'],['$AAPL'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['@', '@', '.', ':', '/', '/', '.', '/', '🔥', '$', '#', ""'"", ""'""]",[],['AAPL'],['not'],[],['🔥']
"🔥 $GOOG @charlie@techhub.org https://t.co/xyz123 ""What a day!"" #Startups",['@charlie@techhub.org'],['#Startups'],['$GOOG'],['https://t.co/xyz123'],"['""What a day!""']","['🔥', '$', '@', '@', '.', ':', '/', '/', '.', '/', '""', '!', '""', '#']",[],['GOOG'],[],['day'],['🔥']
@bob@techhub.org 📉 'Not sure about this' #TechNews €BMW https://t.co/xyz123,['@bob@techhub.org'],['#TechNews'],['€BMW'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['@', '@', '.', '📉', ""'"", ""'"", '#', '€', ':', '/', '/', '.', '/']",[],['BMW'],['not'],[],['📉']
#Climate @eve@mastodon.social 'Not sure about this' 🔥 https://news.site/article $GOOG,['@eve@mastodon.social'],['#Climate'],['$GOOG'],['https://news.site/article'],"[""'Not sure about this'""]","['#', '@', '@', '.', ""'"", ""'"", '🔥', ':', '/', '/', '.', '/', '$']",[],['GOOG'],['not'],[],['🔥']
"💡 $TSLA https://news.site/article #AI @bob ""Let’s go!""",['@bob'],['#AI'],['$TSLA'],['https://news.site/article'],"['""Let’s go!""']","['💡', '$', ':', '/', '/', '.', '/', '#', '@', '""', '’', '!', '""']",[],"['TSLA', 'AI']",[],[],['💡']
"#Climate ""Exciting times ahead!"" $GOOG 🔥 @charlie http://example.com/info",['@charlie'],['#Climate'],['$GOOG'],['http://example.com/info'],"['""Exciting times ahead!""']","['#', '""', '!', '""', '$', '🔥', '@', ':', '/', '/', '.', '/']",[],['GOOG'],[],['times'],['🔥']
@eve@infosec.exchange #Climate https://t.co/xyz123 😀 'Not sure about this' €BMW,['@eve@infosec.exchange'],['#Climate'],['€BMW'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['@', '@', '.', '#', ':', '/', '/', '.', '/', '😀', ""'"", ""'"", '€']",[],['BMW'],['not'],[],['😀']
"#Climate @eve 📉 http://example.com/info ""Let’s go!"" $TSLA",['@eve'],['#Climate'],['$TSLA'],['http://example.com/info'],"['""Let’s go!""']","['#', '@', '📉', ':', '/', '/', '.', '/', '""', '’', '!', '""', '$']",[],['TSLA'],[],[],['📉']
😀 #TechNews https://t.co/xyz123 @eve@techhub.org 'Not sure about this' $AAPL,['@eve@techhub.org'],['#TechNews'],['$AAPL'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['😀', '#', ':', '/', '/', '.', '/', '@', '@', '.', ""'"", ""'"", '$']",[],['AAPL'],['not'],[],['😀']
"""What a day!"" 💡 #Climate @charlie@techhub.org $GOOG https://news.site/article",['@charlie@techhub.org'],['#Climate'],['$GOOG'],['https://news.site/article'],"['""What a day!""']","['""', '!', '""', '💡', '#', '@', '@', '.', '$', ':', '/', '/', '.', '/']",[],['GOOG'],[],['day'],['💡']
'This is amazing' 💡 #AI https://news.site/article €ETH @bob,['@bob'],['#AI'],['€ETH'],['https://news.site/article'],"[""'This is amazing'""]","[""'"", ""'"", '💡', '#', ':', '/', '/', '.', '/', '€', '@']",[],"['AI', 'ETH']",[],[],['💡']
"🔥 ""Exciting times ahead!!!"" It is happening today #AI http://example.com/info @eve €ETH",['@eve'],['#AI'],['€ETH'],['http://example.com/info'],"['""Exciting times ahead!!!""']","['🔥', '""', '!', '!', '!', '""', '#', ':', '/', '/', '.', '/', '@', '€']",['!!!'],"['AI', 'ETH']",[],"['times', 'today']",['🔥']
"""Exciting times ahead!"" #Crypto 😀 https://news.site/article €BMW @dave@techhub.org",['@dave@techhub.org'],['#Crypto'],['€BMW'],['https://news.site/article'],"['""Exciting times ahead!""']","['""', '!', '""', '#', '😀', ':', '/', '/', '.', '/', '€', '@', '@', '.']",[],['BMW'],[],['times'],['😀']
😀 #Climate $GOOG @dave http://example.com/info 'Not sure about this',['@dave'],['#Climate'],['$GOOG'],['http://example.com/info'],"[""'Not sure about this'""]","['😀', '#', '$', '@', ':', '/', '/', '.', '/', ""'"", ""'""]",[],['GOOG'],['not'],[],['😀']
"@bob@infosec.exchange $GOOG 🔥 https://t.co/xyz123 ""What a day!"" #AI",['@bob@infosec.exchange'],['#AI'],['$GOOG'],['https://t.co/xyz123'],"['""What a day!""']","['@', '@', '.', '$', '🔥', ':', '/', '/', '.', '/', '""', '!', '""', '#']",[],"['GOOG', 'AI']",[],['day'],['🔥']
"😀 $AAPL #Crypto never better before https://news.site/article ""Exciting times ahead!"" @dave@techhub.org",['@dave@techhub.org'],['#Crypto'],['$AAPL'],['https://news.site/article'],"['""Exciting times ahead!""']","['😀', '$', '#', ':', '/', '/', '.', '/', '""', '!', '""', '@', '@', '.']",[],['AAPL'],['never'],['times'],['😀']
"€ETH @eve@infosec.exchange http://example.com/info ""What a day!"" 🔥 #TechNews",['@eve@infosec.exchange'],['#TechNews'],['€ETH'],['http://example.com/info'],"['""What a day!""']","['€', '@', '@', '.', ':', '/', '/', '.', '/', '""', '!', '""', '🔥', '#']",[],['ETH'],[],['day'],['🔥']
"🔥 #AI @charlie ""Exciting times ahead!"" €BMW https://t.co/xyz123",['@charlie'],['#AI'],['€BMW'],['https://t.co/xyz123'],"['""Exciting times ahead!""']","['🔥', '#', '@', '""', '!', '""', '€', ':', '/', '/', '.', '/']",[],"['AI', 'BMW']",[],['times'],['🔥']
"http://example.com/info @bob@techhub.org €BMW ""Exciting times ahead!"" #Startups 📉",['@bob@techhub.org'],['#Startups'],['€BMW'],['http://example.com/info'],"['""Exciting times ahead!""']","[':', '/', '/', '.', '/', '@', '@', '.', '€', '""', '!', '""', '#', '📉']",[],['BMW'],[],['times'],['📉']
"@alice@techhub.org https://t.co/xyz123 🔥 ""What a day!"" $TSLA #Climate",['@alice@techhub.org'],['#Climate'],['$TSLA'],['https://t.co/xyz123'],"['""What a day!""']","['@', '@', '.', ':', '/', '/', '.', '/', '🔥', '""', '!', '""', '$', '#']",[],['TSLA'],[],['day'],['🔥']
@bob https://news.site/article 💡 €BMW #Startups 'Not sure about this',['@bob'],['#Startups'],['€BMW'],['https://news.site/article'],"[""'Not sure about this'""]","['@', ':', '/', '/', '.', '/', '💡', '€', '#', ""'"", ""'""]",[],['BMW'],['not'],[],['💡']
"#TechNews 📉 https://news.site/article €BMW @charlie ""What a day!""",['@charlie'],['#TechNews'],['€BMW'],['https://news.site/article'],"['""What a day!""']","['#', '📉', ':', '/', '/', '.', '/', '€', '@', '""', '!', '""']",[],['BMW'],[],['day'],['📉']
"https://news.site/article ""Let’s go!"" 😀 #Startups @dave@infosec.exchange €BMW",['@dave@infosec.exchange'],['#Startups'],['€BMW'],['https://news.site/article'],"['""Let’s go!""']","[':', '/', '/', '.', '/', '""', '’', '!', '""', '😀', '#', '@', '@', '.', '€']",[],['BMW'],[],[],['😀']
"""Let’s go!"" $AAPL 🚀 #AI https://t.co/xyz123 @alice@techhub.org",['@alice@techhub.org'],['#AI'],['$AAPL'],['https://t.co/xyz123'],"['""Let’s go!""']","['""', '’', '!', '""', '$', '🚀', '#', ':', '/', '/', '.', '/', '@', '@', '.']",[],"['AAPL', 'AI']",[],[],['🚀']
"http://example.com/info ""What a day!"" #TechNews @eve@techhub.org $GOOG 😀",['@eve@techhub.org'],['#TechNews'],['$GOOG'],['http://example.com/info'],"['""What a day!""']","[':', '/', '/', '.', '/', '""', '!', '""', '#', '@', '@', '.', '$', '😀']",[],['GOOG'],[],['day'],['😀']
#Startups #business @bob@infosec.exchange Not sure about this https://news.site/article €BMW 📉,['@bob@infosec.exchange'],"['#Startups', '#business']",['€BMW'],['https://news.site/article'],[],"['#', '#', '@', '@', '.', ':', '/', '/', '.', '/', '€', '📉']",[],['BMW'],['not'],[],['📉']
#Crypto $AAPL 📉 https://t.co/xyz123 'Not sure about this' @alice@techhub.org,['@alice@techhub.org'],['#Crypto'],['$AAPL'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['#', '$', '📉', ':', '/', '/', '.', '/', ""'"", ""'"", '@', '@', '.']",[],['AAPL'],['not'],[],['📉']
"#Startups 📉 @bob $GOOG http://example.com/info ""Let’s go!""",['@bob'],['#Startups'],['$GOOG'],['http://example.com/info'],"['""Let’s go!""']","['#', '📉', '@', '$', ':', '/', '/', '.', '/', '""', '’', '!', '""']",[],['GOOG'],[],[],['📉']
"https://news.site/article #AI ""Exciting times ahead!"" $GOOG @charlie@techhub.org 🚀",['@charlie@techhub.org'],['#AI'],['$GOOG'],['https://news.site/article'],"['""Exciting times ahead!""']","[':', '/', '/', '.', '/', '#', '""', '!', '""', '$', '@', '@', '.', '🚀']",[],"['AI', 'GOOG']",[],['times'],['🚀']
http://example.com/info 'This is amazing' €ETH #AI @dave@mastodon.social 💡,['@dave@mastodon.social'],['#AI'],['€ETH'],['http://example.com/info'],"[""'This is amazing'""]","[':', '/', '/', '.', '/', ""'"", ""'"", '€', '#', '@', '@', '.', '💡']",[],"['ETH', 'AI']",[],[],['💡']
#Climate 💡 $AAPL https://t.co/xyz123 'This is amazing' @bob,['@bob'],['#Climate'],['$AAPL'],['https://t.co/xyz123'],"[""'This is amazing'""]","['#', '💡', '$', ':', '/', '/', '.', '/', ""'"", ""'"", '@']",[],['AAPL'],[],[],['💡']
"🔥 @alice@infosec.exchange https://t.co/xyz123 #Climate $AAPL ""What a day!""",['@alice@infosec.exchange'],['#Climate'],['$AAPL'],['https://t.co/xyz123'],"['""What a day!""']","['🔥', '@', '@', '.', ':', '/', '/', '.', '/', '#', '$', '""', '!', '""']",[],['AAPL'],[],['day'],['🔥']
'This is amazing' $AAPL 😀 @dave@mastodon.social #TechNews https://news.site/article,['@dave@mastodon.social'],['#TechNews'],['$AAPL'],['https://news.site/article'],"[""'This is amazing'""]","[""'"", ""'"", '$', '😀', '@', '@', '.', '#', ':', '/', '/', '.', '/']",[],['AAPL'],[],[],['😀']
"@bob@mastodon.social #AI https://news.site/article $GOOG ""What a day!"" 🚀",['@bob@mastodon.social'],['#AI'],['$GOOG'],['https://news.site/article'],"['""What a day!""']","['@', '@', '.', '#', ':', '/', '/', '.', '/', '$', '""', '!', '""', '🚀']",[],"['AI', 'GOOG']",[],['day'],['🚀']
"#Crypto ""Let’s go!"" 💡 @charlie $GOOG http://example.com/info",['@charlie'],['#Crypto'],['$GOOG'],['http://example.com/info'],"['""Let’s go!""']","['#', '""', '’', '!', '""', '💡', '@', '$', ':', '/', '/', '.', '/']",[],['GOOG'],[],[],['💡']
📉 @bob@mastodon.social http://example.com/info #Startups €BMW 'Not sure about this',['@bob@mastodon.social'],['#Startups'],['€BMW'],['http://example.com/info'],"[""'Not sure about this'""]","['📉', '@', '@', '.', ':', '/', '/', '.', '/', '#', '€', ""'"", ""'""]",[],['BMW'],['not'],[],['📉']
https://news.site/article 💡 €BMW 'Not sure about this' #TechNews @bob@mastodon.social,['@bob@mastodon.social'],['#TechNews'],['€BMW'],['https://news.site/article'],"[""'Not sure about this'""]","[':', '/', '/', '.', '/', '💡', '€', ""'"", ""'"", '#', '@', '@', '.']",[],['BMW'],['not'],[],['💡']
